timestamp,item_id,count,mf
2022-11-23T19:07:51.592,84731,-1,452
2022-11-23T19:07:51.592,2058,1,452
2022-11-23T19:07:51.642,2328,1,452
2022-11-23T19:07:51.642,84731,-1,452
2022-11-23T19:07:51.643,84731,-1,452
2022-11-23T19:07:51.643,1778,1,452
2022-11-23T19:07:51.682,1476,1,452
2022-11-23T19:07:51.682,84731,-1,452
2022-11-23T19:07:51.730,84731,-1,452
2022-11-23T19:07:51.730,27412,1,452
2022-11-23T19:07:51.829,84731,-2,452
2022-11-23T19:07:51.829,27084,1,452
2022-11-23T19:07:51.829,23154,1,452
2022-11-23T19:07:51.830,84731,-1,452
2022-11-23T19:07:51.830,1479,1,452
2022-11-23T19:07:51.924,84731,-1,452
2022-11-23T19:07:51.924,84082,1,452
2022-11-23T19:07:51.925,621,1,452
2022-11-23T19:07:51.925,84731,-1,452
2022-11-23T19:07:51.965,84731,-1,452
2022-11-23T19:07:51.965,2505,1,452
2022-11-23T19:07:52.007,26786,1,452
2022-11-23T19:07:52.007,84731,-1,452
2022-11-23T19:07:52.163,27236,1,452
2022-11-23T19:07:52.163,26305,1,452
2022-11-23T19:07:52.163,84731,-5,452
2022-11-23T19:07:52.163,2069,1,452
2022-11-23T19:07:52.163,28753,1,452
2022-11-23T19:07:52.163,27854,1,452
2022-11-23T19:07:52.204,27860,1,452
2022-11-23T19:07:52.204,27253,1,452
2022-11-23T19:07:52.204,511,1,452
2022-11-23T19:07:52.204,84731,-3,452
2022-11-23T19:07:52.317,84731,-3,452
2022-11-23T19:07:52.317,2321,1,452
2022-11-23T19:07:52.317,27846,1,452
2022-11-23T19:07:52.317,27092,1,452
2022-11-23T19:07:52.318,2496,1,452
2022-11-23T19:07:52.318,84731,-2,452
2022-11-23T19:07:52.318,28040,1,452
2022-11-23T19:07:52.434,1760,1,452
2022-11-23T19:07:52.434,84731,-2,452
2022-11-23T19:07:52.434,1508,1,452
2022-11-23T19:07:52.481,2497,1,452
2022-11-23T19:07:52.481,84731,-3,452
2022-11-23T19:07:52.481,1778,1,452
2022-11-23T19:07:52.481,449,1,452
2022-11-23T19:07:52.530,2806,1,452
2022-11-23T19:07:52.530,1956,1,452
2022-11-23T19:07:52.530,84731,-3,452
2022-11-23T19:07:52.530,449,1,452
2022-11-23T19:07:52.698,1037,1,452
2022-11-23T19:07:52.698,84731,-5,452
2022-11-23T19:07:52.698,69492,1,452
2022-11-23T19:07:52.698,2043,1,452
2022-11-23T19:07:52.698,28348,1,452
2022-11-23T19:07:52.698,27718,1,452
2022-11-23T19:07:52.741,2057,1,452
2022-11-23T19:07:52.741,25913,1,452
2022-11-23T19:07:52.741,84731,-3,452
2022-11-23T19:07:52.741,26940,1,452
2022-11-23T19:07:52.874,2799,1,452
2022-11-23T19:07:52.874,69508,1,452
2022-11-23T19:07:52.874,27412,1,452
2022-11-23T19:07:52.874,84731,-5,452
2022-11-23T19:07:52.874,1574,1,452
2022-11-23T19:07:52.874,914,1,452
2022-11-23T19:07:52.915,592,1,452
2022-11-23T19:07:52.915,84731,-3,452
2022-11-23T19:07:52.915,2492,1,452
2022-11-23T19:07:52.915,1256,1,452
2022-11-23T19:07:53.022,2050,1,452
2022-11-23T19:07:53.022,84731,-2,452
2022-11-23T19:07:53.022,1786,1,452
2022-11-23T19:07:53.068,2296,1,452
2022-11-23T19:07:53.068,26099,1,452
2022-11-23T19:07:53.068,922,1,452
2022-11-23T19:07:53.068,84731,-3,452
2022-11-23T19:07:53.210,25923,1,452
2022-11-23T19:07:53.210,1540,1,452
2022-11-23T19:07:53.210,84731,-5,452
2022-11-23T19:07:53.210,1920,1,452
2022-11-23T19:07:53.210,2798,1,452
2022-11-23T19:07:53.210,2358,1,452
2022-11-23T19:07:53.211,27563,1,452
2022-11-23T19:07:53.211,84731,-2,452
2022-11-23T19:07:53.211,27555,1,452
2022-11-23T19:07:53.314,84731,-3,452
2022-11-23T19:07:53.314,2296,1,452
2022-11-23T19:07:53.314,1531,1,452
2022-11-23T19:07:53.314,1920,1,452
2022-11-23T19:07:53.514,448,1,452
2022-11-23T19:07:53.514,2798,1,452
2022-11-23T19:07:53.514,1236,1,452
2022-11-23T19:07:53.514,28662,1,452
2022-11-23T19:07:53.514,1024,1,452
2022-11-23T19:07:53.514,27251,1,452
2022-11-23T19:07:53.514,28185,1,452
2022-11-23T19:07:53.514,84731,-8,452
2022-11-23T19:07:53.514,45095,1,452
2022-11-23T19:07:53.515,28175,1,452
2022-11-23T19:07:53.515,84731,-2,452
2022-11-23T19:07:53.515,1793,1,452
2022-11-23T19:07:53.613,27860,1,452
2022-11-23T19:07:53.613,28192,1,452
2022-11-23T19:07:53.613,84731,-2,452
2022-11-23T19:07:53.663,559,1,452
2022-11-23T19:07:53.663,1462,1,452
2022-11-23T19:07:53.663,2501,1,452
2022-11-23T19:07:53.663,84731,-3,452
2022-11-23T19:07:53.705,84731,-2,452
